scenario,n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,mu1_abs_error,mu2_abs_error
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,4,1050100004,MM,0.0018307999998796731,True,0.5337404545815205,-0.15283906435196704,2.807192511894911,0.7065079413533879,0.9742621805856572,0.15283906435196704,0.19280748810508896
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,4,1050100004,MLE,0.5718006000097375,True,0.5096494635227313,-0.1846657160519195,2.6948450090895477,0.7289275312041175,1.158767129635289,0.1846657160519195,0.3051549909104523
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,1,1050100001,MM,0.004062099993461743,True,0.45817753422358704,-0.10891095720347699,2.919878109122891,0.8861583412540543,0.7747068192220395,0.10891095720347699,0.08012189087710908
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,1,1050100001,MLE,0.8409796000050846,True,0.48093648316399557,0.003809755047714675,2.9482379385165864,1.0817557945852163,0.8064467799093403,0.003809755047714675,0.05176206148341356
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,5,1050100005,MM,0.0019478999893181026,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,5,1050100005,MLE,1.1375475999957416,True,0.7561315459668927,0.9017276587507591,3.615167048836541,1.7842862664228767,0.33619705546203954,0.9017276587507591,0.615167048836541
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,2,1050100002,MM,0.0012137000157963485,True,0.333726561416563,-0.0736050672293107,2.8216798662741587,0.5910760233353658,1.1741385001968045,0.0736050672293107,0.17832013372584132
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,2,1050100002,MLE,1.2292434000119101,True,0.34925150891596474,0.009199294420870474,2.8463124217958757,0.7201599642291171,1.1718331798827724,0.009199294420870474,0.15368757820412426
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,6,1050100006,MM,0.0019922999781556427,True,0.5834480850528263,0.580124786955329,3.0149806002380592,1.9094800424940002,0.6923184660424196,0.580124786955329,0.01498060023805925
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,6,1050100006,MLE,0.820030399976531,True,0.6206975071632038,0.6616973964022499,3.120608845206152,1.9331486724683271,0.5798408855111407,0.6616973964022499,0.120608845206152
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,7,1050100007,MM,0.0018768000009004027,True,0.5838449842410638,-0.133145380999786,3.205667700333045,1.086016615639631,1.0529206827608177,0.133145380999786,0.20566770033304493
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,7,1050100007,MLE,0.6181331999832764,True,0.5649003488747874,-0.1651404382375985,3.101832688585141,1.0954426439804443,1.238004445078209,0.1651404382375985,0.10183268858514083
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,8,1050100008,MM,0.0019181999959982932,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,8,1050100008,MLE,0.3674137000052724,True,0.6208055037622204,0.19714515772819838,3.5167667905574853,1.6227294979162996,0.33182810086168874,0.19714515772819838,0.5167667905574853
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,0,1050100000,MM,0.007849299989175051,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,0,1050100000,MLE,1.6753919999755453,True,0.7836166800303366,0.8705650084588521,3.7478765701926653,2.392714879842228,0.3367221797086288,0.8705650084588521,0.7478765701926653
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,3,1050100003,MM,0.003036700014490634,True,0.6229138205913316,0.079577102934002,3.439369874662205,1.1732263866706942,0.861372976874903,0.079577102934002,0.439369874662205
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,3,1050100003,MLE,1.7717929000209551,True,0.8803432538447076,0.916796052696793,4.508005775008395,2.6575457790797925,0.07567720416449766,0.916796052696793,1.508005775008395
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,9,1050100009,MM,0.0010920999920926988,True,0.31129276423417745,-0.5519631443226629,2.496962119779754,0.6202869045394329,1.081089107920959,0.5519631443226629,0.503037880220246
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,9,1050100009,MLE,0.7421521000214852,True,0.22142644327525116,-0.9168968355522835,2.2488292036092883,0.34329447752294107,1.447331930066842,0.9168968355522835,0.7511707963907117
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,11,1050100011,MM,0.0009413000079803169,True,0.4883972879629955,-0.19652565903334596,3.0304699493755773,0.6182161593979922,1.11441473427805,0.19652565903334596,0.030469949375577343
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,11,1050100011,MLE,0.5323154000216164,True,0.5081278151180003,-0.10550535917217194,3.0658864232408938,0.784710701431855,1.1416494267000143,0.10550535917217194,0.06588642324089378
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,10,1050100010,MM,0.0015369000029750168,True,0.5346786152785001,-0.009281985684123972,3.242122446451143,1.0197078557003945,1.134680668899384,0.009281985684123972,0.2421224464511429
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,10,1050100010,MLE,0.6522618999879342,True,0.5397564604695596,0.016849498761341872,3.24734900717867,1.071335634248428,1.1572228585316824,0.016849498761341872,0.24734900717866992
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,12,1050100012,MM,0.0020289999956730753,True,0.6561633457997506,0.43864848293176695,3.552214339480181,1.3250514989653321,0.3622941215559147,0.43864848293176695,0.5522143394801811
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,12,1050100012,MLE,0.5585279999941122,True,0.6327889609677374,0.3816029184297445,3.452326593353617,1.2744773185000033,0.5000783703074629,0.3816029184297445,0.45232659335361713
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,13,1050100013,MM,0.00323579998803325,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,13,1050100013,MLE,0.6250598999904469,True,0.5019436545111252,-0.16328195187363148,3.123414917733537,1.1256030076780394,1.4239709653634465,0.16328195187363148,0.12341491773353708
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,15,1050100015,MM,0.009501199994701892,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,15,1050100015,MLE,0.5355675000173505,True,0.5625981674117994,0.4483353859232569,3.2256815772433187,1.5053186855684424,0.4269561661622683,0.4483353859232569,0.22568157724331872
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,17,1050100017,MM,0.0007837999728508294,True,0.520772698033698,-0.1480097290087412,3.03007685681329,0.8446064703841606,1.0337867270533758,0.1480097290087412,0.030076856813289865
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,17,1050100017,MLE,0.6969172999961302,True,0.55878645022212,-0.0071436021823870635,3.125488507162974,1.0674658483034876,0.9973610634174204,0.0071436021823870635,0.1254885071629741
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,16,1050100016,MM,0.0009597000025678426,True,0.3818352579270963,-0.47029853908597974,2.8376646681717226,0.579757992969278,1.3304552343764602,0.47029853908597974,0.16233533182827742
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,16,1050100016,MLE,0.9350544000044465,True,0.18725984938327683,-1.0736371064363643,2.184728790882709,0.1308907846476702,2.4439973370633234,1.0736371064363643,0.8152712091172911
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,18,1050100018,MM,0.0008500000112690032,True,0.5468176235114387,-0.26465919705381014,2.5957141106072186,0.5374277629919416,1.1234329684886584,0.26465919705381014,0.40428588939278143
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,18,1050100018,MLE,0.9271241000096779,True,0.6271170088389915,-0.05745882274320154,2.8632171660133086,0.7932099219208094,0.907288721655642,0.05745882274320154,0.13678283398669144
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,21,1050100021,MM,0.0014236999850254506,True,0.5222043909183733,-0.08549500687480394,3.0272477142959238,0.5722374409837249,1.2852103149954837,0.08549500687480394,0.027247714295923764
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,21,1050100021,MLE,0.5057717000017874,True,0.4886405528347351,-0.1410299551710822,2.876005832912904,0.5584208916704801,1.5313859909283156,0.1410299551710822,0.12399416708709587
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,23,1050100023,MM,0.0009817999962251633,True,0.45134157332217933,-0.20674207928866162,2.9233817105205953,0.6851073526411328,1.2623192087569242,0.20674207928866162,0.07661828947940474
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,23,1050100023,MLE,0.5218450000102166,True,0.5148581965853674,-0.018818374694608214,3.1337549110223333,0.8822788372482623,1.0126666082060116,0.018818374694608214,0.13375491102233328
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,24,1050100024,MM,0.0021212999999988824,True,0.6665690087779739,0.3015563908404455,3.512179238592001,1.3726825004746293,0.5668724063697536,0.3015563908404455,0.512179238592001
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,24,1050100024,MLE,0.6837996999965981,True,0.6994810382735603,0.40205580227414256,3.6298779056101464,1.5179860630791593,0.47619846450401443,0.40205580227414256,0.6298779056101464
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,25,1050100025,MM,0.0017548000032547861,True,0.5234713388180909,0.08580809127233646,3.0995490396434495,0.9687575979492359,0.7556646800646821,0.08580809127233646,0.09954903964344952
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,25,1050100025,MLE,0.4981007000023965,True,0.4671359330924351,-0.09627648467473714,2.940555262330952,0.759160952017312,0.9056908813263717,0.09627648467473714,0.05944473766904812
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,22,1050100022,MM,0.002004500012844801,True,0.7128451463691616,0.4316114503059586,3.2407514755492293,1.4422196666962976,0.21798637524076295,0.4316114503059586,0.24075147554922927
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,22,1050100022,MLE,1.2767399000003934,True,0.6691756948980921,0.3338045216464387,3.0677787414612943,1.3642965349726022,0.41808373302722,0.3338045216464387,0.06777874146129426
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,27,1050100027,MM,0.0017766000237315893,True,0.6830872658363579,0.12586686033684802,3.6061942539855494,1.2193510508988497,0.427827325612977,0.12586686033684802,0.6061942539855494
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,27,1050100027,MLE,0.2501994000049308,True,0.617840854290005,-0.084014805377976,3.3513124674564643,0.891217631255507,0.6634149053625753,0.084014805377976,0.3513124674564643
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,20,1050100020,MM,0.0018708000134211034,True,0.6439820601627423,0.1819460734112872,3.4297242192447204,1.4208530600201692,0.7900860119669025,0.1819460734112872,0.4297242192447204
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,20,1050100020,MLE,1.8572174000146333,True,0.6450160451171324,0.22067736732709503,3.3688083609688446,1.5481589392893644,0.9769002231549652,0.22067736732709503,0.3688083609688446
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,28,1050100028,MM,0.0029457999917212874,True,0.44714533705190385,-0.1558412377509626,3.076860144581725,0.9464243183024248,0.5767190558284023,0.1558412377509626,0.07686014458172519
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,28,1050100028,MLE,0.3437356000067666,True,0.45349050281254655,-0.10690202804126539,3.073783453871696,1.0618005701031679,0.6159155693584231,0.10690202804126539,0.07378345387169594
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,29,1050100029,MM,0.0010775999980978668,True,0.45873999317834924,-0.12646713004151522,2.9878485330104607,0.5447882348679451,1.286234105475256,0.12646713004151522,0.012151466989539284
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,29,1050100029,MLE,0.518027499987511,True,0.4166647942268207,-0.2277213540815825,2.835540940708088,0.46950033347491943,1.5051050503794636,0.2277213540815825,0.16445905929191218
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,19,1050100019,MM,0.0017755999870132655,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,19,1050100019,MLE,2.5937344999983907,True,0.8051638545658761,1.337876889602466,3.704285368992729,2.6313797393350953,0.6903580548301436,1.337876889602466,0.7042853689927289
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,30,1050100030,MM,0.0009421999857295305,True,0.5271847472298862,0.030648952897327275,2.7675368323468694,0.7251534030114763,0.8762474805125148,0.030648952897327275,0.23246316765313058
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,30,1050100030,MLE,0.5491077000042424,True,0.6015136049370359,0.1995105035154617,3.023147139163899,0.8582427206611237,0.5931987846741976,0.1995105035154617,0.023147139163898878
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,26,1050100026,MM,0.0017706000071484596,False,,,,,,,
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,26,1050100026,MLE,0.9691108999832068,True,0.5522458004576293,0.403432354219553,3.1552476151742503,1.7515382562853605,0.8788691196038885,0.403432354219553,0.15524761517425034
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,14,1050100014,MM,0.00288169999839738,True,0.453908994773005,0.14593094233144033,2.706918914917454,1.392610718970771,1.1635364910886636,0.14593094233144033,0.2930810850825458
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,14,1050100014,MLE,3.3874947000003885,True,0.8406115917679134,1.1767811933638168,3.4836129722217817,2.5587695439570086,0.18398394985025995,1.1767811933638168,0.4836129722217817
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,32,1050100032,MM,0.0010763000173028558,True,0.36752674261578533,-0.45717040839688483,2.8600926704496015,0.6179076224507217,0.9394513569359175,0.45717040839688483,0.13990732955039853
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,32,1050100032,MLE,0.4141496999945957,True,0.32102163066286754,-0.6284024316978586,2.713842786798374,0.4687478666466658,1.169287211043916,0.6284024316978586,0.2861572132016259
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,31,1050100031,MM,0.0026322999910917133,True,0.42252547389206113,0.1039401635727708,2.8399118092187674,1.0173610956411336,0.9968289292657265,0.1039401635727708,0.1600881907812326
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,31,1050100031,MLE,0.8164772000163794,True,0.8447226919294498,1.3980243215695076,3.239051674951739,2.8131042507276645,0.07144307154527223,1.3980243215695076,0.23905167495173885
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,36,1050100036,MM,0.001975999999558553,True,0.3882854974652579,-0.41708168597215023,2.7652329472794257,0.522775059830733,1.3991190564166123,0.41708168597215023,0.2347670527205743
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,36,1050100036,MLE,0.3288624999986496,True,0.46654209868729973,-0.18116313179513543,3.025743082175631,0.741483075708739,1.0474279451690742,0.18116313179513543,0.025743082175631038
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,37,1050100037,MM,0.001795099989976734,True,0.513293081301803,0.005834672777044414,3.1300341532316827,0.8744279420424069,0.8069268493393931,0.005834672777044414,0.13003415323168266
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,37,1050100037,MLE,0.3575297000061255,True,0.49556489173085955,-0.04344772924521098,3.068651089450114,0.8314812249536114,0.8858490715185369,0.04344772924521098,0.068651089450114
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,35,1050100035,MM,0.0019088999833911657,True,0.3232228663326716,-0.5631917639692023,2.4885978185870683,0.5766121993764199,1.3313886376536808,0.5631917639692023,0.5114021814129317
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,35,1050100035,MLE,0.7575194000091869,True,0.22520056189239274,-0.9464225692920551,2.2138949156323795,0.27149740624315727,1.7048349332312405,0.9464225692920551,0.7861050843676205
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,38,1050100038,MM,0.0031703000131528825,True,0.5996641694293546,0.16946015828889838,3.487351836129912,1.1283884731234415,0.4658156010499062,0.16946015828889838,0.48735183612991184
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,38,1050100038,MLE,0.3854728000005707,True,0.5591928069594221,0.045401518781682394,3.3401062854651027,0.9804954281553594,0.639441114803265,0.045401518781682394,0.3401062854651027
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,33,1050100033,MM,0.0017692000255919993,True,0.557943143176311,0.11153008056013403,3.3269182937513584,0.9996601497677171,0.7464826103132565,0.11153008056013403,0.3269182937513584
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,33,1050100033,MLE,0.9867664000194054,True,0.4651892319160787,-0.13608878448521392,2.9846473181481983,0.7876918699876561,1.2122749521693463,0.13608878448521392,0.01535268185180172
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,39,1050100039,MM,0.0009938000002875924,True,0.40820596316761376,-0.029587262361973732,3.0140507790066007,0.6208866135374558,1.2682034568891054,0.029587262361973732,0.014050779006600678
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,39,1050100039,MLE,0.3747179000056349,True,0.45024457426640735,0.07046701550936031,3.164847690364505,0.6641381632696698,1.0417764586541345,0.07046701550936031,0.16484769036450508
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,34,1050100034,MM,0.0016480999765917659,True,0.44516941989448655,-0.19019451472876137,3.0775597563621706,0.703154186075485,0.6784095559294591,0.19019451472876137,0.0775597563621706
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,34,1050100034,MLE,1.048615100007737,True,0.40163822410068845,-0.29230567127176793,2.908368622363138,0.697038857888431,0.9775932134472701,0.29230567127176793,0.0916313776368618
crossover,100,strong,3.0,balanced,0.5,0.0,3.0,1.0,1.0,44,1050100044,MM,0.002002099994570017,True,0.4709714467534769,0.004750347781699471,2.9793120837661697,0.9054972290845791,1.0927377964705078,0.004750347781699471,0.02068791623383026
