n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,0,0,MM,0.0009732999606058002,True,0.49057049918633444,0.02687873458833978,1.4889661909079077,0.3245037594584463,0.346752861536971,-0.009429500813665559,0.02687873458833978,0.9889661909079077,-0.6754962405415537,-0.653247138463029,0.009429500813665559,0.02687873458833978,0.9889661909079077,0.6754962405415537,0.653247138463029
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,0,0,MLE,1.2926983999786898,True,0.1426036533042884,-0.7388663253306329,1.0229507721638038,0.002708213328230029,0.5716929158697922,-0.35739634669571163,-0.7388663253306329,0.5229507721638038,-0.99729178667177,-0.4283070841302078,0.35739634669571163,0.7388663253306329,0.5229507721638038,0.99729178667177,0.4283070841302078
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,1,1,MM,0.0015586999943479896,True,0.1748015009452869,-1.8598204753549914,0.17042860009842026,0.39815190005387174,0.35714790564717996,-0.3251984990547131,-1.8598204753549914,-0.32957139990157974,-0.6018480999461282,-0.64285209435282,0.3251984990547131,1.8598204753549914,0.32957139990157974,0.6018480999461282,0.64285209435282
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,1,1,MLE,0.21244389994535595,True,0.1459412794341564,-2.089500562791438,0.14107039367121205,0.2158887820032128,0.3597242063183708,-0.3540587205658436,-2.089500562791438,-0.35892960632878795,-0.7841112179967872,-0.6402757936816292,0.3540587205658436,2.089500562791438,0.35892960632878795,0.7841112179967872,0.6402757936816292
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,2,2,MM,0.0010639000684022903,True,0.22123077660497617,-1.0713676147346594,1.021129607325182,0.32876918696086066,0.7716558588396213,-0.27876922339502386,-1.0713676147346594,0.5211296073251821,-0.6712308130391393,-0.2283441411603787,0.27876922339502386,1.0713676147346594,0.5211296073251821,0.6712308130391393,0.2283441411603787
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,2,2,MLE,1.254454799927771,True,0.0970141282428962,-1.6840871208680976,0.7991100285512953,0.002068812455688299,0.9830327216313103,-0.4029858717571038,-1.6840871208680976,0.2991100285512953,-0.9979311875443116,-0.01696727836868972,0.4029858717571038,1.6840871208680976,0.2991100285512953,0.9979311875443116,0.01696727836868972
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,3,3,MM,0.0015767000149935484,True,0.24375856203693969,-1.5793964411136816,0.5171990497433185,0.6743994962123251,0.5364479180371226,-0.2562414379630603,-1.5793964411136816,0.01719904974331854,-0.3256005037876749,-0.46355208196287745,0.2562414379630603,1.5793964411136816,0.01719904974331854,0.3256005037876749,0.46355208196287745
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,3,3,MLE,0.3739284999901429,True,0.13567529466141942,-2.195190571168987,0.3516838908140813,0.2611991073552385,0.6759956960776731,-0.3643247053385806,-2.195190571168987,-0.1483161091859187,-0.7388008926447616,-0.32400430392232693,0.3643247053385806,2.195190571168987,0.1483161091859187,0.7388008926447616,0.32400430392232693
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,4,4,MM,0.0015704999677836895,True,0.7524413295882588,-0.2062808685508653,1.3519172050939428,0.6905134113760719,0.6142998593461192,0.2524413295882588,-0.2062808685508653,0.8519172050939428,-0.3094865886239281,-0.3857001406538808,0.2524413295882588,0.2062808685508653,0.8519172050939428,0.3094865886239281,0.3857001406538808
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,4,4,MLE,1.7842284999787807,True,0.9500277308746282,0.054345561132170865,2.558114468497711,0.8697641027060663,1e-06,0.4500277308746282,0.054345561132170865,2.058114468497711,-0.1302358972939337,-0.999999,0.4500277308746282,0.054345561132170865,2.058114468497711,0.1302358972939337,0.999999
