n,delta_label,delta,p_label,p_true,ratio_label,variance_ratio,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,0,900000000,MM,0.0020205999026075006,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,0,900000000,MLE,0.5018927999772131,True,0.49987576683814333,-0.6780729054551313,0.9653809291703338,0.2627437995008378,0.827266081280171,-0.00012423316185666833,-0.6780729054551313,0.3530084934745392,-0.7372562004991622,-1.1727339187198296,0.00012423316185666833,0.6780729054551313,0.3530084934745392,0.7372562004991622,1.1727339187198296
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,4,900000004,MM,0.002077799988910556,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,4,900000004,MLE,0.47918869997374713,True,0.8181554717612245,0.07813590641783312,1.1017873451516662,1.490098099302432,0.058533359484694875,0.3181554717612245,0.07813590641783312,0.4894149094558716,0.490098099302432,-1.9414666405153056,0.3181554717612245,0.07813590641783312,0.4894149094558716,0.490098099302432,1.9414666405153056
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,3,900000003,MM,0.002875200007110834,True,0.24606485943154094,-0.06694488996589598,0.7975872588785473,3.3127694579503437,0.7905589478660762,-0.25393514056845906,-0.06694488996589598,0.18521482318275273,2.3127694579503437,-1.2094410521339243,0.25393514056845906,0.06694488996589598,0.18521482318275273,2.3127694579503437,1.2094410521339243
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,3,900000003,MLE,0.7517661000601947,True,0.2959584975494176,0.2743365574450245,0.7153897037059052,3.581729221261628,0.6381274699046647,-0.2040415024505824,0.2743365574450245,0.10301726801011057,2.581729221261628,-1.3618725300953356,0.2040415024505824,0.2743365574450245,0.10301726801011057,2.581729221261628,1.3618725300953356
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,8,900000008,MM,0.002167199971154332,True,0.8859141634011285,-0.14538063575964372,2.4560107148113968,0.7833529229134047,0.3312188310616849,0.3859141634011285,-0.14538063575964372,1.843638279115602,-0.21664707708659525,-1.6687811689383154,0.3859141634011285,0.14538063575964372,1.843638279115602,0.21664707708659525,1.6687811689383154
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,8,900000008,MLE,1.3709406999405473,True,0.8810184969608885,-0.1582444794578903,2.4442251846496936,0.7581571279537968,0.31789459872670917,0.3810184969608885,-0.1582444794578903,1.831852748953899,-0.24184287204620325,-1.6821054012732912,0.3810184969608885,0.1582444794578903,1.831852748953899,0.24184287204620325,1.6821054012732912
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,7,900000007,MM,0.00191430002450943,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,7,900000007,MLE,1.913294600090012,True,0.8665099113964334,0.044820981328695685,1.8412687963325292,1.1319763220803725,0.028932348105140972,0.3665099113964334,0.044820981328695685,1.2288963606367345,0.13197632208037247,-1.9710676518948596,0.3665099113964334,0.044820981328695685,1.2288963606367345,0.13197632208037247,1.9710676518948596
